objectid,address,building_historical_name,building_current_name,architect,builder,developer,significant_owner,style_primary,style_secondary,form,construction_decade,construction_year,construction_year_certainty,construction_year_source,resource_rating,is_individually_eligible,local_landmark,local_listed_district,local_listing,nr_landmark,nr_listed_individually,nr_listed_district,nr_listing,eligibility_remarks,previous_survey_name,historical_summary,notes,references,image_url,form_url,latitude,longitude,historic_district
1468,417 S HUMPHREY AVE,,,,F. A. Hill & Co,,F. A. Hill & Co,Shingle Style,Queen Anne,gable front,1900-1909,1904,documented,Village of Oak Park building permit archives.,Contributing,No,No,Yes,Ridgeland-Oak Park Historic District,No,No,Yes,Ridgeland-Oak Park Historic District,,,"The building is a Contributing Resource in the historic district. The house was constructed in 1904 by F. A. Hill & Co, a prominent development company in Oak Park and Austin in the early 20th century and who developed many properties on Humphrey and Cuyler Avenues.",,,https://apps.oak-park.us/GIS/Historic_Resources_of_Oak_Park/21283__ILLINOIS_COOK__(417-S-Humphrey-Ave)_0001.JPG,https://apps.oak-park.us/GIS/Forms_Historic_Resources_of_Oak_Park/21283__ILLINOIS_COOK__(417-S-Humphrey-Ave).pdf,41.8814707,-87.7766215,Ridgeland - Oak Park
1469,419 S HUMPHREY AVE,,,,F. A. Hill & Co,,F. A. Hill & Co,Prairie School,,foursquare,1900-1909,1907,documented,Village of Oak Park building permit archives.,Contributing,No,No,Yes,Ridgeland-Oak Park Historic District,No,No,Yes,Ridgeland-Oak Park Historic District,,,"The building is a Contributing Resource in the historic district. The house was constructed in 1907 by F. A. Hill & Co, a prominent development company in Oak Park and Austin in the early 20th century and who developed many properties on Humphrey and Cuyler Avenues.",,,https://apps.oak-park.us/GIS/Historic_Resources_of_Oak_Park/21285__ILLINOIS_COOK__(419-S-Humphrey-Ave)_0001.JPG,https://apps.oak-park.us/GIS/Forms_Historic_Resources_of_Oak_Park/21285__ILLINOIS_COOK__(419-S-Humphrey-Ave).pdf,41.8813543,-87.7766215,Ridgeland - Oak Park
1470,427 S HUMPHREY AVE,,,,F. A. Hill & Co,,F. A. Hill & Co,,,,1900-1909,1904,documented,Village of Oak Park building permit archives.,Contributing,No,No,Yes,Ridgeland-Oak Park Historic District,No,No,Yes,Ridgeland-Oak Park Historic District,,,,,,https://apps.oak-park.us/GIS/Historic_Resources_of_Oak_Park/21219__ILLINOIS_COOK__(427-S-Humphrey-Ave)_0001.JPG,https://apps.oak-park.us/GIS/Forms_Historic_Resources_of_Oak_Park/21219__ILLINOIS_COOK__(427-S-Humphrey-Ave).pdf,41.8810442,-87.7766215,Ridgeland - Oak Park
1471,432 S HUMPHREY AVE,,,,Peter Jacobs,,George Kuolheimmer,,,,1900-1909,1906,documented,Village of Oak Park building permit archives.,Contributing,No,No,Yes,Ridgeland-Oak Park Historic District,No,No,Yes,Ridgeland-Oak Park Historic District,,,,,,https://apps.oak-park.us/GIS/Historic_Resources_of_Oak_Park/21220__ILLINOIS_COOK__(432-S-Humphrey-Ave)_0001.JPG,https://apps.oak-park.us/GIS/Forms_Historic_Resources_of_Oak_Park/21220__ILLINOIS_COOK__(432-S-Humphrey-Ave).pdf,41.8808377,-87.7759682,Ridgeland - Oak Park
1472,412 IOWA ST,Gustavus Babson House no. 1,,Tallmadge and Watson,Wolf and Gray,,Gustavus Babson,Prairie School,,Prairie,1900-1909,1906,documented,Village of Oak Park building permit archives.,Contributing,No,No,Yes,Frank Lloyd Wright-Prairie School of Architecture,No,No,Yes,Frank Lloyd Wright-Prairie School of Architecture,,Oak Park Survey 1970,"See also the Gustavus Babson House No. 2 at 415 Linden Ave, also designed by Tallmadge & Watson.",,,https://apps.oak-park.us/GIS/Historic_Resources_of_Oak_Park/14956__ILLINOIS_COOK__(412-Iowa-St)_0001.jpg,https://apps.oak-park.us/GIS/Forms_Historic_Resources_of_Oak_Park/14956__ILLINOIS_COOK__(412-Iowa-St).pdf,41.89661,-87.7855536,Frank Lloyd Wright
1473,424 IOWA ST,,,,James Todd and Company,,Mrs. F. Kimball,Colonial Revival,,foursquare,1900-1909,1904,documented,Village of Oak Park building permit archives.,Contributing,No,No,Yes,Frank Lloyd Wright-Prairie School of Architecture,No,No,Yes,Frank Lloyd Wright-Prairie School of Architecture,,Oak Park Survey 1970,,,,https://apps.oak-park.us/GIS/Historic_Resources_of_Oak_Park/14957__ILLINOIS_COOK__(424-Iowa-St)_0001.jpg,https://apps.oak-park.us/GIS/Forms_Historic_Resources_of_Oak_Park/14957__ILLINOIS_COOK__(424-Iowa-St).pdf,41.8966661,-87.7861077,Frank Lloyd Wright
1474,454 IOWA ST,Charles H. Reeves House,,Lawrence Buck and Vernon Watson,William A. Pillinger,,Charles H. Reeves,English Arts & Crafts,,Cross Gable,1900-1909,1905,documented,Village of Oak Park building permit archives.,Contributing,No,No,Yes,Frank Lloyd Wright-Prairie School of Architecture,No,No,Yes,Frank Lloyd Wright-Prairie School of Architecture,,Oak Park Survey 1970,,,,https://apps.oak-park.us/GIS/Historic_Resources_of_Oak_Park/14960__ILLINOIS_COOK__(454-Iowa-St)_0001.JPG,https://apps.oak-park.us/GIS/Forms_Historic_Resources_of_Oak_Park/14960__ILLINOIS_COOK__(454-Iowa-St).pdf,41.896563,-87.7875047,Frank Lloyd Wright
1475,722 IOWA ST,E. W. Pratt House,,Eben E. Roberts,,,E. W. Pratt,Prairie School,,,1900-1909,1909,documented,Village of Oak Park building permit archives.,Contributing,No,No,Yes,Frank Lloyd Wright-Prairie School of Architecture 1972,No,No,Yes,Frank Lloyd Wright-Prairie School of Architecture 1973,,Oak Park Survey 1970,House was moved from 215 N. Oak Park Avenue in 1922,,,https://apps.oak-park.us/GIS/Historic_Resources_of_Oak_Park/15015__ILLINOIS_COOK__(722-Iowa-St)_0001.jpg,https://apps.oak-park.us/GIS/Forms_Historic_Resources_of_Oak_Park/15015__ILLINOIS_COOK__(722-Iowa-St).pdf,41.8965168,-87.79407,Frank Lloyd Wright
1476,235-237 S KENILWORTH AVE,,,,,,,,,,1900-1909,1900,approximate,Village of Oak Park building permit archives.,,No,No,Yes,Ridgeland-Oak Park Historic District,No,No,Yes,Ridgeland-Oak Park Historic District,,,"A second dwelling may be located behind the house. The house is visible on the 1908 Sanborn map, listed as 233 S Kenilworth Ave.",,,https://apps.oak-park.us/GIS/Historic_Resources_of_Oak_Park/23497__ILLINOIS_COOK__(235-237-Kenilworth-Ave)_0001.JPG,https://apps.oak-park.us/GIS/Forms_Historic_Resources_of_Oak_Park/23497__ILLINOIS_COOK__(235-237-Kenilworth-Ave).pdf,41.8840256,-87.7971712,Ridgeland - Oak Park
1477,101 N KENILWORTH AVE,Thomas H. Gale House,Thomas H. Gale House,,Harper & Butendorff,,Thomas H. Gale,Queen Anne,,Two-Flat,1900-1909,1907,documented,Village of Oak Park building permit archives.,Contributing,No,No,Yes,Ridgeland-Oak Park Historic District,No,No,Yes,Ridgeland-Oak Park Historic District,,,101 N Kenilworth was built by Harper & Butendorff for owner Thomas H. Gale in 1907.,,,https://apps.oak-park.us/GIS/Historic_Resources_of_Oak_Park/20663__ILLINOIS_COOK__(101-N-Kenilworth-Ave)_0001.JPG,https://apps.oak-park.us/GIS/Forms_Historic_Resources_of_Oak_Park/20663__ILLINOIS_COOK__(101-N-Kenilworth-Ave).pdf,41.8873355,-87.7973704,Ridgeland - Oak Park
1478,124 N KENILWORTH AVE,,Alcuin Montessori 7th & 8th Grade Middle School / The Gale House,Eben E. Roberts (attributed),Pilinger Brothers,,George W. Gale,Prairie School,Craftsman,foursquare,1900-1909,1905,documented,Village of Oak Park building permit archives.,Contributing,No,No,Yes,Ridgeland-Oak Park Historic District,No,No,Yes,Ridgeland-Oak Park Historic District,,,The building is a Contributing Resource in the historic district. The school was designed by Eben E. Roberts and constructed in 1905 by Pilinger Brothers for owner George W. Gale.,,,https://apps.oak-park.us/GIS/Historic_Resources_of_Oak_Park/21295__ILLINOIS_COOK__(124-N-Kenilworth-Ave)_0001.JPG,https://apps.oak-park.us/GIS/Forms_Historic_Resources_of_Oak_Park/21295__ILLINOIS_COOK__(124-N-Kenilworth-Ave).pdf,41.8880823,-87.7968903,Ridgeland - Oak Park
1479,200-208 N KENILWORTH AVE,,,,E. O. Vale,,E. O. Vale,Classical Revival,,apartment/multi-unit complex,1900-1909,1906,documented,Village of Oak Park building permit archives.,Contributing,No,No,Yes,Frank Lloyd Wright-Prairie School of Architecture,No,No,Yes,Frank Lloyd Wright-Prairie School of Architecture,,Oak Park Survey 1970,,,,https://apps.oak-park.us/GIS/Historic_Resources_of_Oak_Park/14939__ILLINOIS_COOK__(200-208-N-Kenilworth-Ave)_0001.jpg,https://apps.oak-park.us/GIS/Forms_Historic_Resources_of_Oak_Park/14939__ILLINOIS_COOK__(200-208-N-Kenilworth-Ave).pdf,41.890362,-87.7971865,Frank Lloyd Wright
1480,312 N KENILWORTH AVE,Walter Gale House no. 2,,Handy and Cady,Charles E. Zweiberg,,Walter H. Gale,Colonial Revival,,Side Gable,1900-1909,1905,documented,Village of Oak Park building permit archives.,Contributing,No,No,Yes,Frank Lloyd Wright-Prairie School of Architecture,No,No,Yes,Frank Lloyd Wright-Prairie School of Architecture,,Oak Park Survey 1970,Architect Jeremiah Kiersted Cady,,,https://apps.oak-park.us/GIS/Historic_Resources_of_Oak_Park/14942__ILLINOIS_COOK__(312-N-Kenilworth-Ave)_0001.JPG,https://apps.oak-park.us/GIS/Forms_Historic_Resources_of_Oak_Park/14942__ILLINOIS_COOK__(312-N-Kenilworth-Ave).pdf,41.8917922,-87.797274,Frank Lloyd Wright
1481,410 N KENILWORTH AVE,Edwin H. Ehrman House,,Lawrence Buck,Joseph Hammond & Company,,Edwin H. Ehrman,English Arts & Crafts,Prairie School,Craftsman,1900-1909,1908,documented,Village of Oak Park building permit archives.,Contributing,No,Yes,Yes,"Historic Landmark, 2012",No,No,Yes,Frank Lloyd Wright-Prairie School of Architecture,"Architecture, architect Lawrence Buck",Oak Park Survey 1970,See attached Historic Landmark nomination report,,,https://apps.oak-park.us/GIS/Historic_Resources_of_Oak_Park/14296__ILLINOIS_COOK__(410-N-Kenilworth-Ave)_0001.jpg,https://apps.oak-park.us/GIS/Forms_Historic_Resources_of_Oak_Park/14296__ILLINOIS_COOK__(410-N-Kenilworth-Ave).pdf,41.893385,-87.7972081,Frank Lloyd Wright
1482,423 N KENILWORTH AVE,J. T. Lauburder House,,,Pillinger Brothers,,J. T. Lauburder,Colonial Revival,,Side Gable,1900-1909,1902,documented,Village of Oak Park building permit archives.,Contributing,No,No,Yes,Frank Lloyd Wright-Prairie School of Architecture,No,No,Yes,Frank Lloyd Wright-Prairie School of Architecture,,Oak Park Survey 1970,,,,https://apps.oak-park.us/GIS/Historic_Resources_of_Oak_Park/14936__ILLINOIS_COOK__(423-N-Kenilworth-Ave)_0001.JPG,https://apps.oak-park.us/GIS/Forms_Historic_Resources_of_Oak_Park/14936__ILLINOIS_COOK__(423-N-Kenilworth-Ave).pdf,41.893749,-87.7980022,Frank Lloyd Wright
1483,424 N KENILWORTH AVE,,,,Harper and Butendorff,,James L. Kellogg,Dutch Colonial Revival,,Side Gable,1900-1909,1905,documented,Village of Oak Park building permit archives.,Contributing,No,No,Yes,Frank Lloyd Wright-Prairie School of Architecture 1972,No,No,Yes,Frank Lloyd Wright-Prairie School of Architecture 1973,,Oak Park Survey 1970,,,,https://apps.oak-park.us/GIS/Historic_Resources_of_Oak_Park/15020__ILLINOIS_COOK__(424-N-Kenilworth-Ave)_0001.JPG,https://apps.oak-park.us/GIS/Forms_Historic_Resources_of_Oak_Park/15020__ILLINOIS_COOK__(424-N-Kenilworth-Ave).pdf,41.893858,-87.7973052,Frank Lloyd Wright
1484,432 N KENILWORTH AVE,Charles E. Matthews House,,Tallmadge and Watson,Guy & McClintock,,Charles E. Matthews,Prairie School,,Prairie,1900-1909,1909,documented,Village of Oak Park building permit archives.,Contributing,No,Yes,Yes,"Historic Landmark, 2011",No,No,Yes,Frank Lloyd Wright-Prairie School of Architecture,,Oak Park Survey 1970,,,,https://apps.oak-park.us/GIS/Historic_Resources_of_Oak_Park/14297__ILLINOIS_COOK__(432-N-Kenilworth-Ave)_0001.JPG,https://apps.oak-park.us/GIS/Forms_Historic_Resources_of_Oak_Park/14297__ILLINOIS_COOK__(432-N-Kenilworth-Ave).pdf,41.894008,-87.7973343,Frank Lloyd Wright
1485,437 N KENILWORTH AVE,Americus B. Melville House,,Eben E. Roberts,Vierow Brothers,,Americus B. Melville,Prairie School,,foursquare,1900-1909,1904,documented,Village of Oak Park building permit archives.,Contributing,No,No,Yes,Frank Lloyd Wright-Prairie School of Architecture,No,No,Yes,Frank Lloyd Wright-Prairie School of Architecture,,Oak Park Survey 1970,,,,https://apps.oak-park.us/GIS/Historic_Resources_of_Oak_Park/14938__ILLINOIS_COOK__(437-N-Kenilworth-Ave)_0001.JPG,https://apps.oak-park.us/GIS/Forms_Historic_Resources_of_Oak_Park/14938__ILLINOIS_COOK__(437-N-Kenilworth-Ave).pdf,41.894147,-87.7979457,Frank Lloyd Wright
1486,600 N KENILWORTH AVE,Ernest Hemingway Boyhood Home,Dr. Clarence and Grace Hemingway House,Grace Hall Hemingway / Henry G. Fiddelke,Harper and Butendorff,,Dr. Clarence and Grace Hemingway,Prairie School,,foursquare,1900-1909,1906,documented,Village of Oak Park building permit archives.,Contributing,No,No,Yes,Frank Lloyd Wright-Prairie School of Architecture Historic District 1972,No,No,Yes,Frank Lloyd Wright-Prairie School of Architecture Historic District 1973,"The boyhood home of significant author Ernest Hemingway, where he lived from the ages of 7 to 21.",Oak Park Survey 1970,See attached research report from the 2016 Wright Plus house walk sponsored by the Frank Lloyd Wright Trust.,,,https://apps.oak-park.us/GIS/Historic_Resources_of_Oak_Park/16488__ILLINOIS_COOK__(600-N-Kenilworth-Ave)_0001.JPG,https://apps.oak-park.us/GIS/Forms_Historic_Resources_of_Oak_Park/16488__ILLINOIS_COOK__(600-N-Kenilworth-Ave).pdf,41.896338,-87.7972845,Frank Lloyd Wright
1487,605 N KENILWORTH AVE,,,,,,J.R. Mott,Craftsman,Spanish Colonial Revival,,1900-1909,1905,approximate,Village of Oak Park building permit archives.,Contributing,No,No,Yes,Frank Lloyd Wright-Prairie School of Architecture Historic District,No,No,Yes,Frank Lloyd Wright-Prairie School of Architecture Historic District,,,The building is a Contributing Resource in the historic district. The house was constructed in 1905 for owner J.R. Mott.,,,https://apps.oak-park.us/GIS/Historic_Resources_of_Oak_Park/21300__ILLINOIS_COOK__(605-N-Kenilworth-Ave)_0001.JPG,https://apps.oak-park.us/GIS/Forms_Historic_Resources_of_Oak_Park/21300__ILLINOIS_COOK__(605-N-Kenilworth-Ave).pdf,41.896401,-87.7981195,Frank Lloyd Wright
1488,612 N KENILWORTH AVE,,,Eben E. Roberts,Harper & Butendorff,,Dr. Howard L. Simmons,,,,1900-1909,1902,documented,Village of Oak Park building permit archives.,Contributing,No,No,Yes,Frank Lloyd Wright-Prairie School of Architecture Historic District,No,No,Yes,Frank Lloyd Wright-Prairie School of Architecture Historic District,,,The building is a Contributing Resource in the historic district. The house was designed by Eben E. Roberts and constructed in 1902 by Harper & Butendorff for owner Dr. Howard L. Simmons.,,,https://apps.oak-park.us/GIS/Historic_Resources_of_Oak_Park/21301__ILLINOIS_COOK__(612-N-Kenilworth-Ave)_0001.JPG,https://apps.oak-park.us/GIS/Forms_Historic_Resources_of_Oak_Park/21301__ILLINOIS_COOK__(612-N-Kenilworth-Ave).pdf,41.8965991,-87.797332,Frank Lloyd Wright
1489,616 N KENILWORTH AVE,,,"Charles E. White, Jr.",,,Mrs. C.E. Simmons,Prairie School,Craftsman,foursquare,1900-1909,1905,documented,Village of Oak Park building permit archives.,Contributing,No,No,Yes,Frank Lloyd Wright-Prairie School of Architecture Historic District,No,No,Yes,Frank Lloyd Wright-Prairie School of Architecture Historic District,,,"The building is a Contributing Resource in the historic district. The house was designed by Charles E. White, Jr. constructed in 1905 for owner Mrs. C.E. Simmons.",,,https://apps.oak-park.us/GIS/Historic_Resources_of_Oak_Park/21302__ILLINOIS_COOK__(616-N-Kenilworth-Ave)_0001.jpg,https://apps.oak-park.us/GIS/Forms_Historic_Resources_of_Oak_Park/21302__ILLINOIS_COOK__(616-N-Kenilworth-Ave).pdf,41.8968712,-87.7973704,Frank Lloyd Wright
1490,622 N KENILWORTH AVE,,,"Charles E. White, Jr.",,,Simmons,,,,1900-1909,1905,documented,Village of Oak Park building permit archives.,Contributing,No,No,Yes,Frank Lloyd Wright-Prairie School of Architecture,No,No,Yes,Frank Lloyd Wright-Prairie School of Architecture,,,,,,https://apps.oak-park.us/GIS/Historic_Resources_of_Oak_Park/21247__ILLINOIS_COOK__(622-N-Kenilworth-Ave)_0001.jpg,https://apps.oak-park.us/GIS/Forms_Historic_Resources_of_Oak_Park/21247__ILLINOIS_COOK__(622-N-Kenilworth-Ave).pdf,41.8970255,-87.797332,Frank Lloyd Wright
1491,623 N KENILWORTH AVE,,,,,,,Queen Anne,Shingle Style,gable front,1900-1909,1900,approximate,Village of Oak Park building permit archives.,Contributing,No,No,Yes,Frank Lloyd Wright-Prairie School of Architecture Historic District,No,No,Yes,Frank Lloyd Wright-Prairie School of Architecture Historic District,,,The building is a Contributing Resource in the historic district. The house was constructed circa 1900.,,,https://apps.oak-park.us/GIS/Historic_Resources_of_Oak_Park/21305__ILLINOIS_COOK__(623-N-Kenilworth-Ave)_0001.jpg,https://apps.oak-park.us/GIS/Forms_Historic_Resources_of_Oak_Park/21305__ILLINOIS_COOK__(623-N-Kenilworth-Ave).pdf,41.8969627,-87.7981003,Frank Lloyd Wright
1492,627 N KENILWORTH AVE,,,,,,,,,,1900-1909,1905,approximate,Village of Oak Park building permit archives.,Contributing,No,No,Yes,Frank Lloyd Wright-Prairie School of Architecture,No,No,Yes,Frank Lloyd Wright-Prairie School of Architecture,,,,,,https://apps.oak-park.us/GIS/Historic_Resources_of_Oak_Park/21251__ILLINOIS_COOK__(627-N-Kenilworth-Ave)_0001.jpg,https://apps.oak-park.us/GIS/Forms_Historic_Resources_of_Oak_Park/21251__ILLINOIS_COOK__(627-N-Kenilworth-Ave).pdf,41.8970789,-87.7981003,Frank Lloyd Wright
1493,630 N KENILWORTH AVE,,,,Sias & Grenfel,,N. Reu,Queen Anne,Shingle Style,gable front,1900-1909,1903,documented,Village of Oak Park building permit archives.,Contributing,No,No,Yes,Frank Lloyd Wright-Prairie School of Architecture Historic District,No,No,Yes,Frank Lloyd Wright-Prairie School of Architecture Historic District,,,The building is a Contributing Resource in the historic district. The house was constructed in 1903 by Sias & Grenfel for owner N. Reu.,,,https://apps.oak-park.us/GIS/Historic_Resources_of_Oak_Park/21306__ILLINOIS_COOK__(630-N-Kenilworth-Ave)_0001.jpg,https://apps.oak-park.us/GIS/Forms_Historic_Resources_of_Oak_Park/21306__ILLINOIS_COOK__(630-N-Kenilworth-Ave).pdf,41.8972968,-87.797332,Frank Lloyd Wright
1494,631 N KENILWORTH AVE,,,"Jno. Awacher, Jr.",,,"Jno. Awacher, Jr.",Prairie School,Queen Anne,foursquare,1900-1909,1905,documented,Village of Oak Park building permit archives.,Contributing,No,No,Yes,Frank Lloyd Wright-Prairie School of Architecture Historic District,No,No,Yes,Frank Lloyd Wright-Prairie School of Architecture Historic District,,,"631 N Kenilworth Ave was built in 1905. The owner and architect was Jno. Awacher, Jr. Alterations were made to the house in 1951, including remodeling of the front fa̤ade and interior. Based on 1908 and 1950 Sanborn maps, a full-width front porch was original to the house and likely removed in 1951. The window alterations were also likely added at that time.",,,https://apps.oak-park.us/GIS/Historic_Resources_of_Oak_Park/20783__ILLINOIS_COOK__(631-N-Kenilworth-Ave)_0001.JPG,https://apps.oak-park.us/GIS/Forms_Historic_Resources_of_Oak_Park/20783__ILLINOIS_COOK__(631-N-Kenilworth-Ave).pdf,41.897196,-87.7981387,Frank Lloyd Wright
1495,635 N KENILWORTH AVE,,,Tallmadge & Watson,C. C. Dent,,Whitney T. Lovell,Dutch Colonial Revival,,,1900-1909,1907,documented,Village of Oak Park building permit archives.,Contributing,No,No,Yes,Frank Lloyd Wright-Prairie School of Architecture Historic District,No,No,Yes,Frank Lloyd Wright-Prairie School of Architecture Historic District,,,The building is a Contributing Resource in the historic district. The house was designed by Tallmadge & Watson and constructed in 1907 by C. C. Dent for owner Whitney T. Lovell.,,,https://apps.oak-park.us/GIS/Historic_Resources_of_Oak_Park/21307__ILLINOIS_COOK__(635-N-Kenilworth-Ave)_0001.JPG,https://apps.oak-park.us/GIS/Forms_Historic_Resources_of_Oak_Park/21307__ILLINOIS_COOK__(635-N-Kenilworth-Ave).pdf,41.8973115,-87.7981003,Frank Lloyd Wright
1496,637 N KENILWORTH AVE,,,Frank D. Thompson,Harper & Butendorff,,M. C. Dauchy,,,,1900-1909,1906,documented,Village of Oak Park building permit archives.,Contributing,No,No,Yes,Frank Lloyd Wright-Prairie School of Architecture,No,No,Yes,Frank Lloyd Wright-Prairie School of Architecture,,,,,,https://apps.oak-park.us/GIS/Historic_Resources_of_Oak_Park/21258__ILLINOIS_COOK__(637-N-Kenilworth-Ave)_0001.jpg,https://apps.oak-park.us/GIS/Forms_Historic_Resources_of_Oak_Park/21258__ILLINOIS_COOK__(637-N-Kenilworth-Ave).pdf,41.8974278,-87.7981003,Frank Lloyd Wright
1497,641 N KENILWORTH AVE,,,,W. A. Pillinger,,A. F. Wilcox,,,foursquare,1900-1909,1906,documented,Village of Oak Park building permit archives.,Contributing,No,No,Yes,Frank Lloyd Wright-Prairie School of Architecture,No,No,Yes,Frank Lloyd Wright-Prairie School of Architecture,,,,,,https://apps.oak-park.us/GIS/Historic_Resources_of_Oak_Park/21261__ILLINOIS_COOK__(641-N-Kenilworth-Ave)_0001.JPG,https://apps.oak-park.us/GIS/Forms_Historic_Resources_of_Oak_Park/21261__ILLINOIS_COOK__(641-N-Kenilworth-Ave).pdf,41.8975638,-87.7981195,Frank Lloyd Wright
1498,642 N KENILWORTH AVE,,,,Charles Pleau,,John Brandt,Queen Anne,,foursquare,1900-1909,1904,documented,Village of Oak Park building permit archives.,Contributing,No,No,Yes,Frank Lloyd Wright-Prairie School of Architecture Historic District,No,No,Yes,Frank Lloyd Wright-Prairie School of Architecture Historic District,,,The building is a Contributing Resource in the historic district. The house was constructed in 1904 by Charles Pleau for owner John Brandt.,,,https://apps.oak-park.us/GIS/Historic_Resources_of_Oak_Park/21309__ILLINOIS_COOK__(642-N-Kenilworth-Ave)_0001.JPG,https://apps.oak-park.us/GIS/Forms_Historic_Resources_of_Oak_Park/21309__ILLINOIS_COOK__(642-N-Kenilworth-Ave).pdf,41.8976866,-87.7974473,Frank Lloyd Wright
1499,701 N KENILWORTH AVE,,,,Little Brothers,,Simpson Rogers,,,,1900-1909,1908,documented,Village of Oak Park building permit archives.,Contributing,No,No,Yes,Frank Lloyd Wright-Prairie School of Architecture,No,No,Yes,Frank Lloyd Wright-Prairie School of Architecture,,,,,,https://apps.oak-park.us/GIS/Historic_Resources_of_Oak_Park/21267__ILLINOIS_COOK__(701-N-Kenilworth-Ave)_0001.jpg,https://apps.oak-park.us/GIS/Forms_Historic_Resources_of_Oak_Park/21267__ILLINOIS_COOK__(701-N-Kenilworth-Ave).pdf,41.8981839,-87.7981195,Frank Lloyd Wright
