geography,geoid,vintage,period,table,variable,label,estimate,margin_of_error,source
Illinois,04000US17,2014,2010-2014,B03002,B03002_001,Total,12868747,,data.census.gov
Illinois,04000US17,2014,2010-2014,B03002,B03002_003,Total > Not Hispanic or Latino > White alone,8088630,1797,data.census.gov
Illinois,04000US17,2014,2010-2014,B03002,B03002_004,Total > Not Hispanic or Latino > Black or African American alone,1822304,3559,data.census.gov
Illinois,04000US17,2014,2010-2014,B03002,B03002_006,Total > Not Hispanic or Latino > Asian alone,622689,2373,data.census.gov
Illinois,04000US17,2014,2010-2014,B03002,B03002_012,Total > Hispanic or Latino,2095495,334,data.census.gov
Illinois,04000US17,2014,2010-2014,B15003,B15003_001,Total,8560555,1047,data.census.gov
Illinois,04000US17,2014,2010-2014,B15003,B15003_022,Total > Bachelor's degree,1688420,8801,data.census.gov
Illinois,04000US17,2014,2010-2014,B15003,B15003_023,Total > Master's degree,757345,7227,data.census.gov
Illinois,04000US17,2014,2010-2014,B15003,B15003_024,Total > Professional school degree,181769,2865,data.census.gov
Illinois,04000US17,2014,2010-2014,B15003,B15003_025,Total > Doctorate degree,102400,2066,data.census.gov
Illinois,04000US17,2014,2010-2014,B19013,B19013_001,Median household income in the past 12 months (in 2014 Inflation-adjusted dollars),57166,203,data.census.gov
Illinois,04000US17,2014,2010-2014,B25003,B25003_001,Total,4778633,11513,data.census.gov
Illinois,04000US17,2014,2010-2014,B25003,B25003_002,Total > Owner occupied,3194707,15979,data.census.gov
Illinois,04000US17,2014,2010-2014,B25003,B25003_003,Total > Renter occupied,1583926,7482,data.census.gov
Illinois,04000US17,2014,2010-2014,B25034,B25034_001,Total,5299433,1943,data.census.gov
Illinois,04000US17,2014,2010-2014,B25034,B25034_002,Total > Built 2010 or later,27258,1166,data.census.gov
Illinois,04000US17,2014,2010-2014,B25034,B25034_003,Total > Built 2000 to 2009,605369,4353,data.census.gov
Illinois,04000US17,2014,2010-2014,B25034,B25034_004,Total > Built 1990 to 1999,571276,3882,data.census.gov
Illinois,04000US17,2014,2010-2014,B25034,B25034_005,Total > Built 1980 to 1989,466769,4116,data.census.gov
Illinois,04000US17,2014,2010-2014,B25034,B25034_006,Total > Built 1970 to 1979,761766,5215,data.census.gov
Illinois,04000US17,2014,2010-2014,B25034,B25034_007,Total > Built 1960 to 1969,627790,4957,data.census.gov
Illinois,04000US17,2014,2010-2014,B25034,B25034_008,Total > Built 1950 to 1959,698218,5058,data.census.gov
Illinois,04000US17,2014,2010-2014,B25034,B25034_009,Total > Built 1940 to 1949,339178,3423,data.census.gov
Illinois,04000US17,2014,2010-2014,B25034,B25034_010,Total > Built 1939 or earlier,1201809,5405,data.census.gov
Illinois,04000US17,2014,2010-2014,B25035,B25035_001,Median year structure built,1967,1,data.census.gov
Illinois,04000US17,2014,2010-2014,B25064,B25064_001,Median gross rent,903,2,data.census.gov
Illinois,04000US17,2014,2010-2014,B25077,B25077_001,Median value (dollars),175700,626,data.census.gov
Illinois,04000US17,2014,2010-2014,B15003,DERIVED_BACHELORS_OR_HIGHER_25PLUS,"Population 25 years and over with a bachelor's degree or higher (sum of B15003_022, B15003_023, B15003_024, B15003_025)",2729934,11923.2,data.census.gov
Illinois,04000US17,2014,2010-2014,B25034,DERIVED_UNITS_BUILT_1939_OR_EARLIER,Housing units built 1939 or earlier (copy of B25034_010),1201809,5405,data.census.gov
"Oak Park village, Illinois",16000US1754885,2015,2011-2015,B01002,B01002_001,Median age > Total,39.1,0.8,data.census.gov
"Oak Park village, Illinois",16000US1754885,2015,2011-2015,B01003,B01003_001,Total,52080,46,data.census.gov
"Oak Park village, Illinois",16000US1754885,2015,2011-2015,B03002,B03002_001,Total,52080,46,data.census.gov
"Oak Park village, Illinois",16000US1754885,2015,2011-2015,B03002,B03002_003,Total > Not Hispanic or Latino > White alone,33201,873,data.census.gov
"Oak Park village, Illinois",16000US1754885,2015,2011-2015,B03002,B03002_004,Total > Not Hispanic or Latino > Black or African American alone,10528,698,data.census.gov
"Oak Park village, Illinois",16000US1754885,2015,2011-2015,B03002,B03002_006,Total > Not Hispanic or Latino > Asian alone,2485,519,data.census.gov
"Oak Park village, Illinois",16000US1754885,2015,2011-2015,B03002,B03002_012,Total > Hispanic or Latino,3835,604,data.census.gov
"Oak Park village, Illinois",16000US1754885,2015,2011-2015,B15003,B15003_001,Total,36315,454,data.census.gov
"Oak Park village, Illinois",16000US1754885,2015,2011-2015,B15003,B15003_022,Total > Bachelor's degree,11116,554,data.census.gov
"Oak Park village, Illinois",16000US1754885,2015,2011-2015,B15003,B15003_023,Total > Master's degree,8747,525,data.census.gov
"Oak Park village, Illinois",16000US1754885,2015,2011-2015,B15003,B15003_024,Total > Professional school degree,2848,304,data.census.gov
"Oak Park village, Illinois",16000US1754885,2015,2011-2015,B15003,B15003_025,Total > Doctorate degree,1922,258,data.census.gov
"Oak Park village, Illinois",16000US1754885,2015,2011-2015,B19013,B19013_001,Median household income in the past 12 months (in 2015 Inflation-adjusted dollars),80196,3948,data.census.gov
"Oak Park village, Illinois",16000US1754885,2015,2011-2015,B25003,B25003_001,Total,21612,419,data.census.gov
"Oak Park village, Illinois",16000US1754885,2015,2011-2015,B25003,B25003_002,Total > Owner occupied,12809,445,data.census.gov
"Oak Park village, Illinois",16000US1754885,2015,2011-2015,B25003,B25003_003,Total > Renter occupied,8803,387,data.census.gov
"Oak Park village, Illinois",16000US1754885,2015,2011-2015,B25034,B25034_001,Total,23718,461,data.census.gov
"Oak Park village, Illinois",16000US1754885,2015,2011-2015,B25034,B25034_002,Total > Built 2014 or later,10,15,data.census.gov
"Oak Park village, Illinois",16000US1754885,2015,2011-2015,B25034,B25034_003,Total > Built 2010 to 2013,35,26,data.census.gov
"Oak Park village, Illinois",16000US1754885,2015,2011-2015,B25034,B25034_004,Total > Built 2000 to 2009,779,155,data.census.gov
"Oak Park village, Illinois",16000US1754885,2015,2011-2015,B25034,B25034_005,Total > Built 1990 to 1999,679,191,data.census.gov
"Oak Park village, Illinois",16000US1754885,2015,2011-2015,B25034,B25034_006,Total > Built 1980 to 1989,588,179,data.census.gov
"Oak Park village, Illinois",16000US1754885,2015,2011-2015,B25034,B25034_007,Total > Built 1970 to 1979,1487,221,data.census.gov
"Oak Park village, Illinois",16000US1754885,2015,2011-2015,B25034,B25034_008,Total > Built 1960 to 1969,1527,242,data.census.gov
"Oak Park village, Illinois",16000US1754885,2015,2011-2015,B25034,B25034_009,Total > Built 1950 to 1959,1780,233,data.census.gov
"Oak Park village, Illinois",16000US1754885,2015,2011-2015,B25034,B25034_010,Total > Built 1940 to 1949,1113,206,data.census.gov
"Oak Park village, Illinois",16000US1754885,2015,2011-2015,B25034,B25034_011,Total > Built 1939 or earlier,15720,591,data.census.gov
"Oak Park village, Illinois",16000US1754885,2015,2011-2015,B25035,B25035_001,Median year structure built,1939,,data.census.gov
"Oak Park village, Illinois",16000US1754885,2015,2011-2015,B25064,B25064_001,Median gross rent,1033,44,data.census.gov
"Oak Park village, Illinois",16000US1754885,2015,2011-2015,B25077,B25077_001,Median value (dollars),353100,8961,data.census.gov
"Oak Park village, Illinois",16000US1754885,2015,2011-2015,B15003,DERIVED_BACHELORS_OR_HIGHER_25PLUS,"Population 25 years and over with a bachelor's degree or higher (sum of B15003_022, B15003_023, B15003_024, B15003_025)",24633,861.1,data.census.gov
"Oak Park village, Illinois",16000US1754885,2015,2011-2015,B25034,DERIVED_UNITS_BUILT_1939_OR_EARLIER,Housing units built 1939 or earlier (copy of B25034_011),15720,591,data.census.gov
"Cook County, Illinois",05000US17031,2015,2011-2015,B01002,B01002_001,Median age > Total,35.9,0.1,data.census.gov
"Cook County, Illinois",05000US17031,2015,2011-2015,B01003,B01003_001,Total,5236393,,data.census.gov
"Cook County, Illinois",05000US17031,2015,2011-2015,B03002,B03002_001,Total,5236393,,data.census.gov
"Cook County, Illinois",05000US17031,2015,2011-2015,B03002,B03002_003,Total > Not Hispanic or Latino > White alone,2256002,816,data.census.gov
"Cook County, Illinois",05000US17031,2015,2011-2015,B03002,B03002_004,Total > Not Hispanic or Latino > Black or African American alone,1239171,2146,data.census.gov
"Cook County, Illinois",05000US17031,2015,2011-2015,B03002,B03002_006,Total > Not Hispanic or Latino > Asian alone,352123,1489,data.census.gov
"Cook County, Illinois",05000US17031,2015,2011-2015,B03002,B03002_012,Total > Hispanic or Latino,1295026,,data.census.gov
"Cook County, Illinois",05000US17031,2015,2011-2015,B15003,B15003_001,Total,3537179,63,data.census.gov
"Cook County, Illinois",05000US17031,2015,2011-2015,B15003,B15003_022,Total > Bachelor's degree,759678,5884,data.census.gov
"Cook County, Illinois",05000US17031,2015,2011-2015,B15003,B15003_023,Total > Master's degree,354849,5103,data.census.gov
"Cook County, Illinois",05000US17031,2015,2011-2015,B15003,B15003_024,Total > Professional school degree,100497,2245,data.census.gov
"Cook County, Illinois",05000US17031,2015,2011-2015,B15003,B15003_025,Total > Doctorate degree,50199,1788,data.census.gov
"Cook County, Illinois",05000US17031,2015,2011-2015,B19013,B19013_001,Median household income in the past 12 months (in 2015 Inflation-adjusted dollars),55251,327,data.census.gov
"Cook County, Illinois",05000US17031,2015,2011-2015,B25003,B25003_001,Total,1942959,4859,data.census.gov
"Cook County, Illinois",05000US17031,2015,2011-2015,B25003,B25003_002,Total > Owner occupied,1107485,6906,data.census.gov
"Cook County, Illinois",05000US17031,2015,2011-2015,B25003,B25003_003,Total > Renter occupied,835474,5134,data.census.gov
"Cook County, Illinois",05000US17031,2015,2011-2015,B25034,B25034_001,Total,2176549,931,data.census.gov
"Cook County, Illinois",05000US17031,2015,2011-2015,B25034,B25034_002,Total > Built 2014 or later,1277,277,data.census.gov
"Cook County, Illinois",05000US17031,2015,2011-2015,B25034,B25034_003,Total > Built 2010 to 2013,10718,636,data.census.gov
"Cook County, Illinois",05000US17031,2015,2011-2015,B25034,B25034_004,Total > Built 2000 to 2009,172209,2291,data.census.gov
"Cook County, Illinois",05000US17031,2015,2011-2015,B25034,B25034_005,Total > Built 1990 to 1999,132839,2151,data.census.gov
"Cook County, Illinois",05000US17031,2015,2011-2015,B25034,B25034_006,Total > Built 1980 to 1989,147735,2245,data.census.gov
"Cook County, Illinois",05000US17031,2015,2011-2015,B25034,B25034_007,Total > Built 1970 to 1979,261630,2956,data.census.gov
"Cook County, Illinois",05000US17031,2015,2011-2015,B25034,B25034_008,Total > Built 1960 to 1969,280994,3312,data.census.gov
"Cook County, Illinois",05000US17031,2015,2011-2015,B25034,B25034_009,Total > Built 1950 to 1959,336277,3373,data.census.gov
"Cook County, Illinois",05000US17031,2015,2011-2015,B25034,B25034_010,Total > Built 1940 to 1949,160697,2607,data.census.gov
"Cook County, Illinois",05000US17031,2015,2011-2015,B25034,B25034_011,Total > Built 1939 or earlier,672173,4002,data.census.gov
"Cook County, Illinois",05000US17031,2015,2011-2015,B25035,B25035_001,Median year structure built,1958,1,data.census.gov
"Cook County, Illinois",05000US17031,2015,2011-2015,B25064,B25064_001,Median gross rent,980,3,data.census.gov
"Cook County, Illinois",05000US17031,2015,2011-2015,B25077,B25077_001,Median value (dollars),218700,939,data.census.gov
"Cook County, Illinois",05000US17031,2015,2011-2015,B15003,DERIVED_BACHELORS_OR_HIGHER_25PLUS,"Population 25 years and over with a bachelor's degree or higher (sum of B15003_022, B15003_023, B15003_024, B15003_025)",1265223,8300.5,data.census.gov
"Cook County, Illinois",05000US17031,2015,2011-2015,B25034,DERIVED_UNITS_BUILT_1939_OR_EARLIER,Housing units built 1939 or earlier (copy of B25034_011),672173,4002,data.census.gov
Illinois,04000US17,2015,2011-2015,B01002,B01002_001,Median age > Total,37.3,0.2,data.census.gov
Illinois,04000US17,2015,2011-2015,B01003,B01003_001,Total,12873761,,data.census.gov
Illinois,04000US17,2015,2011-2015,B03002,B03002_001,Total,12873761,,data.census.gov
Illinois,04000US17,2015,2011-2015,B03002,B03002_003,Total > Not Hispanic or Latino > White alone,8041878,1771,data.census.gov
Illinois,04000US17,2015,2011-2015,B03002,B03002_004,Total > Not Hispanic or Latino > Black or African American alone,1818938,3662,data.census.gov
Illinois,04000US17,2015,2011-2015,B03002,B03002_006,Total > Not Hispanic or Latino > Asian alone,641068,2430,data.census.gov
Illinois,04000US17,2015,2011-2015,B03002,B03002_012,Total > Hispanic or Latino,2122841,425,data.census.gov
Illinois,04000US17,2015,2011-2015,B15003,B15003_001,Total,8600178,1178,data.census.gov
Illinois,04000US17,2015,2011-2015,B15003,B15003_022,Total > Bachelor's degree,1711787,10536,data.census.gov
Illinois,04000US17,2015,2011-2015,B15003,B15003_023,Total > Master's degree,778362,8162,data.census.gov
Illinois,04000US17,2015,2011-2015,B15003,B15003_024,Total > Professional school degree,183531,2823,data.census.gov
Illinois,04000US17,2015,2011-2015,B15003,B15003_025,Total > Doctorate degree,104191,2357,data.census.gov
Illinois,04000US17,2015,2011-2015,B19013,B19013_001,Median household income in the past 12 months (in 2015 Inflation-adjusted dollars),57574,247,data.census.gov
Illinois,04000US17,2015,2011-2015,B25003,B25003_001,Total,4786388,11295,data.census.gov
Illinois,04000US17,2015,2011-2015,B25003,B25003_002,Total > Owner occupied,3177705,15848,data.census.gov
Illinois,04000US17,2015,2011-2015,B25003,B25003_003,Total > Renter occupied,1608683,8148,data.census.gov
Illinois,04000US17,2015,2011-2015,B25034,B25034_001,Total,5303675,1796,data.census.gov
Illinois,04000US17,2015,2011-2015,B25034,B25034_002,Total > Built 2014 or later,3140,438,data.census.gov
Illinois,04000US17,2015,2011-2015,B25034,B25034_003,Total > Built 2010 to 2013,39405,1271,data.census.gov
Illinois,04000US17,2015,2011-2015,B25034,B25034_004,Total > Built 2000 to 2009,602127,4888,data.census.gov
Illinois,04000US17,2015,2011-2015,B25034,B25034_005,Total > Built 1990 to 1999,577356,4431,data.census.gov
Illinois,04000US17,2015,2011-2015,B25034,B25034_006,Total > Built 1980 to 1989,470705,4168,data.census.gov
Illinois,04000US17,2015,2011-2015,B25034,B25034_007,Total > Built 1970 to 1979,764168,5080,data.census.gov
Illinois,04000US17,2015,2011-2015,B25034,B25034_008,Total > Built 1960 to 1969,630929,4394,data.census.gov
Illinois,04000US17,2015,2011-2015,B25034,B25034_009,Total > Built 1950 to 1959,690743,4879,data.census.gov
Illinois,04000US17,2015,2011-2015,B25034,B25034_010,Total > Built 1940 to 1949,335832,3659,data.census.gov
Illinois,04000US17,2015,2011-2015,B25034,B25034_011,Total > Built 1939 or earlier,1189270,5440,data.census.gov
Illinois,04000US17,2015,2011-2015,B25035,B25035_001,Median year structure built,1967,1,data.census.gov
Illinois,04000US17,2015,2011-2015,B25064,B25064_001,Median gross rent,907,3,data.census.gov
Illinois,04000US17,2015,2011-2015,B25077,B25077_001,Median value (dollars),173800,415,data.census.gov
Illinois,04000US17,2015,2011-2015,B15003,DERIVED_BACHELORS_OR_HIGHER_25PLUS,"Population 25 years and over with a bachelor's degree or higher (sum of B15003_022, B15003_023, B15003_024, B15003_025)",2777871,13825.7,data.census.gov
Illinois,04000US17,2015,2011-2015,B25034,DERIVED_UNITS_BUILT_1939_OR_EARLIER,Housing units built 1939 or earlier (copy of B25034_011),1189270,5440,data.census.gov
"Oak Park village, Illinois",16000US1754885,2016,2012-2016,B01002,B01002_001,Median age > Total,39.1,0.8,data.census.gov
"Oak Park village, Illinois",16000US1754885,2016,2012-2016,B01003,B01003_001,Total,51989,38,data.census.gov
"Oak Park village, Illinois",16000US1754885,2016,2012-2016,B03002,B03002_001,Total,51989,38,data.census.gov
"Oak Park village, Illinois",16000US1754885,2016,2012-2016,B03002,B03002_003,Total > Not Hispanic or Latino > White alone,32302,1001,data.census.gov
"Oak Park village, Illinois",16000US1754885,2016,2012-2016,B03002,B03002_004,Total > Not Hispanic or Latino > Black or African American alone,10887,938,data.census.gov
"Oak Park village, Illinois",16000US1754885,2016,2012-2016,B03002,B03002_006,Total > Not Hispanic or Latino > Asian alone,2510,459,data.census.gov
"Oak Park village, Illinois",16000US1754885,2016,2012-2016,B03002,B03002_012,Total > Hispanic or Latino,3989,548,data.census.gov
"Oak Park village, Illinois",16000US1754885,2016,2012-2016,B15003,B15003_001,Total,36249,443,data.census.gov
